%C4%AF+%C5%A1al%C4%AF+laikinai+dirbti+atsi%C5%B3stas+u%C5%BEsienietis%2C+kurio+nuolatin%C4%97+darbo+vieta+yra+u%C5%BEsienyje-lt = admittedTerm-admn-sts
%C4%AFgaliojimai+atlikti+patikrinimus-lt = admittedTerm-admn-sts
%C5%A1%C4%97riuotasis+vainik%C5%ABnas-lt = deprecatedTerm-admn-sts
Stabilumo+pakto+regionin%C4%97+grup%C4%97-lt = supersededTerm-admn-sts
Tarybos+reglamentas+%28EB%29+Nr.+207%2F2009+d%C4%97l+Bendrijos+preki%C5%B3+%C5%BEenklo-lt = supersededTerm-admn-sts
alyva-lt = admittedTerm-admn-sts
amfetaminas-lt = preferredTerm-admn-sts
arklini%C5%B3+%C5%A1eimos+gyv%C5%ABn%C5%B3+jaunikli%C5%B3+atvedimas-lt = preferredTerm-admn-sts
auk%C5%A1tesnis+statusas-lt = deprecatedTerm-admn-sts
baltosios+krevet%C4%97s-lt = supersededTerm-admn-sts
branduolys-lt = preferredTerm-admn-sts
buvimas+%C5%A1alyje+giminai%C4%8Di%C5%B3+ar+kit%C5%B3+asmen%C5%B3+lankymo+tikslu-lt = supersededTerm-admn-sts
cigare%C4%8Di%C5%B3+popierius-lt = admittedTerm-admn-sts
daugiamet%C4%97+Bendrijos+programa+d%C4%97l+prieinamesnio%2C+patogesnio+ir+tinkamesnio+naudoti+skaitmeninio+turinio+Europoje-lt = preferredTerm-admn-sts
derliaus+metai-lt = admittedTerm-admn-sts
duj%C5%B3+plautuvas-lt = preferredTerm-admn-sts
epidemiologi%C5%A1kai+susij%C4%99s-lt = admittedTerm-admn-sts
galutinis+investuotojas-lt = deprecatedTerm-admn-sts
galvij%C5%B3+auginimo+ekstensyvinimo+i%C5%A1moka-lt = preferredTerm-admn-sts
galvos+apsaugas-lt = preferredTerm-admn-sts
hesianas-lt = admittedTerm-admn-sts
i%C5%A1+dalies+i%C5%A1luk%C5%A1tenti+ry%C5%BEiai-lt = preferredTerm-admn-sts
i%C5%A1imtin%C4%97s+rinkos+r%C4%97mimo+priemon%C4%97s-lt = admittedTerm-admn-sts
ilga%C4%8Diuopiklis+kalmaras-lt = supersededTerm-admn-sts
impregnavimas-lt = admittedTerm-admn-sts
jud%C5%BEioji+darbin%C4%97+k%C4%97limo+platforma-lt = preferredTerm-admn-sts
kaltinamasis-lt = preferredTerm-admn-sts
kogeneracija-lt = admittedTerm-admn-sts
laisvosios+akcijos-lt = preferredTerm-admn-sts
manijokai-lt = deprecatedTerm-admn-sts
mar%C5%A1ruto+parinktuvas-lt = preferredTerm-admn-sts
mas%C4%97+procentais-lt = deprecatedTerm-admn-sts
nacionalin%C4%97+pagalba-lt = deprecatedTerm-admn-sts
nam%C5%B3+slauga-lt = preferredTerm-admn-sts
nepriimtinumo+pagrindas-lt = deprecatedTerm-admn-sts
odos+sudirginimo+skal%C4%97-lt = preferredTerm-admn-sts
oficialiai+paskirtas+veterinarijos+gydytojas-lt = deprecatedTerm-admn-sts
orientacin%C4%97+kaina-lt = preferredTerm-admn-sts
pagr%C4%AFstas+patikinimas-lt = admittedTerm-admn-sts
palanki%C5%B3+s%C4%85lyg%C5%B3+neturin%C4%8Di%C5%B3+darbuotoj%C5%B3+%C4%AFdarbinimui+skirta+pagalba-lt = deprecatedTerm-admn-sts
pardavimas+aukcione-lt = preferredTerm-admn-sts
perdirbti+gyv%C5%ABniniai+baltymai%2C+skirti+gyv%C5%ABnams+%C5%A1erti-lt = admittedTerm-admn-sts
pieno+gamini%C5%B3+gamyba-lt = preferredTerm-admn-sts
poveikis+nesensibilizuojan%C4%8Dia+med%C5%BEiaga-lt = admittedTerm-admn-sts
pusbaltis+cukrus-lt = preferredTerm-admn-sts
reikalavimus+atitinkan%C4%8Dios+vie%C5%A1osios+i%C5%A1laidos-lt = preferredTerm-admn-sts
spalv%C5%B3+atk%C5%ABrimas-lt = admittedTerm-admn-sts
sperma-lt = preferredTerm-admn-sts
stambiosios+atliekos-lt = preferredTerm-admn-sts
suvartojimas+Bendrijoje-lt = supersededTerm-admn-sts
t%C4%97vyst%C4%97-lt = deprecatedTerm-admn-sts
teigiamas+kontrolinis+bandinys-lt = admittedTerm-admn-sts
tiriamasis+asmuo-lt = preferredTerm-admn-sts
u%C5%BE+klimato+politik%C4%85+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
vidutinio+ir+auk%C5%A1to+lygio+korupcija-lt = admittedTerm-admn-sts
%C4%AFsigyta+%C5%BEaliava-lt = preferredTerm-admn-sts
%C4%AFstatymo+galios+neturintis+aktas-lt = supersededTerm-admn-sts
%C4%AFvairiose+srityse+aktual%C5%ABs+geb%C4%97jimai-lt = deprecatedTerm-admn-sts
%C4%AFvertinimo+ataskaita-lt = admittedTerm-admn-sts
%C5%A0vietimo%2C+jaunimo+ir+kult%C5%ABros+taryba-lt = supersededTerm-admn-sts
1B+direktoratas+%28socialiniai+reikalai%2C+energetika%2C+moksliniai+tyrimai+ir+telekomunikacijos%29-lt = supersededTerm-admn-sts
Asmen%C5%B3+apsaugos+tvarkant+asmens+duomenis+darbo+grup%C4%97-lt = admittedTerm-admn-sts
Bendrijos+augal%C5%B3+sveikatos+sistema-lt = deprecatedTerm-admn-sts
Bendrijos+tranzito+proced%C5%ABra-lt = supersededTerm-admn-sts
Europos+elektronini%C5%B3+ry%C5%A1i%C5%B3+reguliuotoj%C5%B3+institucijos+biuras-lt = supersededTerm-admn-sts
Europos+investicini%C5%B3+projekt%C5%B3+duomen%C5%B3+baz%C4%97-lt = supersededTerm-admn-sts
ISOFIX+pritvirtinimo+vieta-lt = deprecatedTerm-admn-sts
Protokolas+d%C4%97l+institucij%C5%B3+ir+Europos+S%C4%85jungos+tam+tikr%C5%B3+%C4%AFstaig%C5%B3%2C+organ%C5%B3%2C+tarnyb%C5%B3+ir+padalini%C5%B3+b%C5%ABstini%C5%B3+vietos-lt = supersededTerm-admn-sts
Somalio+pusiasalio+j%C5%ABr%C5%B3+saugumo+centras-lt = preferredTerm-admn-sts
Tarptautin%C4%97+konferencija+d%C4%97l+%C5%BEmon%C4%97ms+skirt%C5%B3+vaistini%C5%B3+preparat%C5%B3+registracijai+taikom%C5%B3+technini%C5%B3+reikalavim%C5%B3+suderinimo-lt = supersededTerm-admn-sts
Tarptautin%C4%97s+taisykl%C4%97s+laiv%C5%B3+susid%C5%ABrimams+j%C5%ABroje+i%C5%A1vengti-lt = deprecatedTerm-admn-sts
Tarptautinis+turto+vertinimo+standart%C5%B3+komitetas-lt = supersededTerm-admn-sts
Vengrijos+Respublika-lt = supersededTerm-admn-sts
Vidaus+reikal%C5%B3+GD-lt = supersededTerm-admn-sts
aki%C5%B3+dirginimas-lt = preferredTerm-admn-sts
alyvmed%C5%BEi%C5%B3+plantacija-lt = admittedTerm-admn-sts
amerikinis+bi%C4%8Di%C5%B3+per%C5%B3+puvinys-lt = preferredTerm-admn-sts
antvandeninis+bortas-lt = deprecatedTerm-admn-sts
atomin%C4%97s+absorbcijos+spektroskopija-lt = admittedTerm-admn-sts
augal%C5%B3+apsaugos+produkt%C5%B3+liku%C4%8Diai-lt = supersededTerm-admn-sts
bangininis+krilis-lt = deprecatedTerm-admn-sts
bylos+nagrin%C4%97jimas+Teisingumo+Teisme-lt = supersededTerm-admn-sts
choriogonadotropinas-lt = admittedTerm-admn-sts
civilinis+statusas-lt = admittedTerm-admn-sts
divergencijos+kampas-lt = deprecatedTerm-admn-sts
dvigubas+dugnas-lt = admittedTerm-admn-sts
euro+zonai+nepriklausanti+%C5%A1alis-lt = deprecatedTerm-admn-sts
fiksavimo+%C4%AFtaisas-lt = preferredTerm-admn-sts
finansinis+susitarimas-lt = admittedTerm-admn-sts
gyvavimo+ciklo+poveikio+%C4%AFvertinimas-lt = preferredTerm-admn-sts
izopropilo+alkoholis-lt = preferredTerm-admn-sts
j%C5%ABr%C5%B3+erdv%C4%97s+planavimas-lt = deprecatedTerm-admn-sts
j%C5%ABr%C5%B3+kiauly%C4%8Di%C5%B3+antiserumas-lt = admittedTerm-admn-sts
kampuotoji+pupen%C4%97-lt = preferredTerm-admn-sts
keleiviui+skirta+vieta-lt = deprecatedTerm-admn-sts
kontrolinis+akcij%C5%B3+paketas-lt = deprecatedTerm-admn-sts
krovini%C5%B3+ve%C5%BEimas+keliais-lt = preferredTerm-admn-sts
lauko+aptvarai-lt = preferredTerm-admn-sts
lauko+virusas-lt = admittedTerm-admn-sts
ma%C5%BEasis+garbenis-lt = preferredTerm-admn-sts
ma%C5%BEoji+%C4%AFmon%C4%97-lt = preferredTerm-admn-sts
maisto+sudedamoji+dalis-lt = preferredTerm-admn-sts
met%C5%B3+mokestis-lt = preferredTerm-admn-sts
nacionalin%C4%97s+schemos-lt = deprecatedTerm-admn-sts
nacionalin%C4%97s+vienyb%C4%97s+vyriausyb%C4%97-lt = deprecatedTerm-admn-sts
neformalus+investuotojas-lt = preferredTerm-admn-sts
pagal+schem%C4%85+teikiama+pagalba-lt = admittedTerm-admn-sts
pagalba+moksliniams+tyrimams+ir+taikomajai+veiklai-lt = supersededTerm-admn-sts
paskirstytojo+registro+technologija-lt = preferredTerm-admn-sts
pauk%C5%A1%C4%8Di%C5%B3+tankumas-lt = preferredTerm-admn-sts
pos%C5%ABki%C5%B3+ap%C5%A1vietimas-lt = preferredTerm-admn-sts
prekybos+metai-lt = preferredTerm-admn-sts
pusiau+laisvai+laikom%C5%B3+vi%C5%A1t%C5%B3+kiau%C5%A1iniai-lt = preferredTerm-admn-sts
reguliuojama+%C4%AFmon%C4%97-lt = preferredTerm-admn-sts
sanglaudos+finansin%C4%97+priemon%C4%97-lt = preferredTerm-admn-sts
selektyvumas-lt = admittedTerm-admn-sts
stereoskopinis+mikroskopas-lt = admittedTerm-admn-sts
su+doz%C4%97s+lygiu+susieta+reakcija-lt = admittedTerm-admn-sts
su+teis%C4%97s+akt%C5%B3+pri%C4%97mimu+nesusijusi+veikla-lt = deprecatedTerm-admn-sts
suk%C4%8Diavimas+PVM+srityje-lt = deprecatedTerm-admn-sts
tir%C5%A1tasis+m%C4%97%C5%A1las-lt = preferredTerm-admn-sts
tiriamoji+visuma-lt = preferredTerm-admn-sts
transliavimo+paslauga-lt = preferredTerm-admn-sts
u%C5%BEkre%C4%8Diamoji+o%C5%BEk%C5%B3+pleuropneumonija-lt = admittedTerm-admn-sts
vandeniui+nelaidus+skyrius-lt = preferredTerm-admn-sts
vie%C5%A1as+pos%C4%97dis-lt = supersededTerm-admn-sts
%C4%AFstatymo+gali%C4%85+turintis+teis%C4%97s+aktas-lt = supersededTerm-admn-sts
%C4%AFvairiagylis+porinis+tralas-lt = preferredTerm-admn-sts
Bendrijos+etalonin%C4%97+laboratorija+klasikiniam+kiauli%C5%B3+marui+tirti-lt = deprecatedTerm-admn-sts
Bendrosios+pozicijos+931+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Europos+GNSS+prie%C5%BEi%C5%ABros+institucija-lt = supersededTerm-admn-sts
Grenlandijos+ruonis-lt = supersededTerm-admn-sts
Sutartis+d%C4%97l+speciali%C5%B3j%C5%B3+rinkos+protekcini%C5%B3+%28apsaugos%29+priemoni%C5%B3-lt = deprecatedTerm-admn-sts
alternatyvi%C5%B3+degal%C5%B3+transporto+priemon%C4%97-lt = preferredTerm-admn-sts
alyv%C5%B3+derlius-lt = deprecatedTerm-admn-sts
aplinkos+kokyb%C4%97s+standartas-lt = preferredTerm-admn-sts
apsauginis+tinklas-lt = deprecatedTerm-admn-sts
bandymo+prietaisas-lt = admittedTerm-admn-sts
bendras+cholesterolis-lt = deprecatedTerm-admn-sts
branduolio+sintez%C4%97-lt = deprecatedTerm-admn-sts
bulvin%C4%97+saul%C4%97gr%C4%85%C5%BEa-lt = preferredTerm-admn-sts
cinebas-lt = preferredTerm-admn-sts
citrusini%C5%B3+vaisi%C5%B3+i%C5%A1spaudos-lt = preferredTerm-admn-sts
de+minimis+pagalba-lt = preferredTerm-admn-sts
deryb%C5%B3+nurodymai-lt = admittedTerm-admn-sts
did%C5%BEiausias+liku%C4%8Di%C5%B3+kiekis-lt = deprecatedTerm-admn-sts
epitop%C4%97-lt = deprecatedTerm-admn-sts
galim%C5%B3+i%C5%A1vengti+mir%C4%8Di%C5%B3+rodiklis-lt = deprecatedTerm-admn-sts
gamybos+poslinkio+koeficientas-lt = preferredTerm-admn-sts
gero+%C5%ABkininkavimo+praktika-lt = admittedTerm-admn-sts
gydomasis+poveikis-lt = preferredTerm-admn-sts
gyvavimo+ciklas-lt = preferredTerm-admn-sts
gyvenamosios+patalpos+tur%C4%97jimo+patvirtinimas-lt = admittedTerm-admn-sts
hipertekst%C5%B3+persiuntimo+protokolas-lt = preferredTerm-admn-sts
identifikavimas-lt = admittedTerm-admn-sts
infekcinis+bursitas-lt = preferredTerm-admn-sts
intervencin%C4%97+kr%C5%ABtinin%C4%97-lt = preferredTerm-admn-sts
kartinis+vaistas-lt = preferredTerm-admn-sts
katod%C5%B3+nu%C4%97mimo+ma%C5%A1ina-lt = deprecatedTerm-admn-sts
kokos%C5%B3+aliejus-lt = preferredTerm-admn-sts
kontrolin%C4%97+diagrama-lt = preferredTerm-admn-sts
krumplinis+dir%C5%BEas-lt = preferredTerm-admn-sts
l%C4%85steli%C5%B3+samplaika-lt = preferredTerm-admn-sts
lygmeninis+tinkl%C5%B3+modelis-lt = preferredTerm-admn-sts
maisto+tvarkymo+%C4%AFmon%C4%97-lt = preferredTerm-admn-sts
negalia-lt = preferredTerm-admn-sts
neprie%C5%A1taravimas+prane%C5%A1tai+koncentracijai-lt = deprecatedTerm-admn-sts
norveginis+plonasis+omaras-lt = supersededTerm-admn-sts
pradin%C4%97s+nuosavos+l%C4%97%C5%A1os-lt = admittedTerm-admn-sts
profesinis+kalb%C5%B3+mokymasis-lt = admittedTerm-admn-sts
rudieji+j%C5%ABr%C5%B3+dumbliai-lt = supersededTerm-admn-sts
sekos+homologi%C5%A1kumas-lt = preferredTerm-admn-sts
sorbcinis+vakuuminis+siurblys-lt = preferredTerm-admn-sts
spygliuo%C4%8Di%C5%B3+medienos+plau%C5%A1iena-lt = admittedTerm-admn-sts
sugeriamoji+plok%C5%A1t%C4%97-lt = preferredTerm-admn-sts
tarpuv%C4%97%C5%BEis-lt = admittedTerm-admn-sts
tyrimo+priemon%C4%97-lt = supersededTerm-admn-sts
u%C5%BEsienie%C4%8Dio+teis%C4%97+b%C5%ABti+kandidatu+per+rinkimus-lt = admittedTerm-admn-sts
vidaus+organ%C5%B3+%C5%A1alinimas-lt = preferredTerm-admn-sts
%C5%ABsuotasis+ryklys-lt = deprecatedTerm-admn-sts
%C5%BEalsva%C5%BEiedis+p%C4%97dul%C4%97-lt = deprecatedTerm-admn-sts
1-asis+direktoratas+%28%C5%BEem%C4%97s+%C5%ABkis+%28Specialusis+%C5%BEem%C4%97s+%C5%ABkio+komitetas%29%29-lt = supersededTerm-admn-sts
Bendros+ES+ir+Afrikos+strategijos+ad+hoc+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Maisto+mokslinis+komitetas-lt = preferredTerm-admn-sts
Protokolas+d%C4%97l+Nyderland%C5%B3+Antil%C5%B3+salose+perdirbt%C5%B3+naftos+produkt%C5%B3+importo+%C4%AF+Europos+ekonomin%C4%99+bendrij%C4%85-lt = supersededTerm-admn-sts
akiniuotoji+%C5%A1ukut%C4%97-lt = supersededTerm-admn-sts
antigenini%C5%B3+tip%C5%B3+nustatymas-lt = deprecatedTerm-admn-sts
ap%C5%BEi%C5%ABra-lt = preferredTerm-admn-sts
atid%C4%97tos+%C5%BEem%C4%97s+schema-lt = deprecatedTerm-admn-sts
automatin%C4%97+mikroklimato+reguliavimo+sistema-lt = preferredTerm-admn-sts
automobilinis+betono+mai%C5%A1ytuvas-lt = admittedTerm-admn-sts
autopsija-lt = preferredTerm-admn-sts
dalinis+darbas-lt = supersededTerm-admn-sts
fiksavimo+priemon%C4%97-lt = deprecatedTerm-admn-sts
generalin%C4%97+paskola-lt = deprecatedTerm-admn-sts
genetinis+%C4%AFvertinimas-lt = admittedTerm-admn-sts
glicerinas-lt = deprecatedTerm-admn-sts
glicerolis-lt = preferredTerm-admn-sts
i%C5%A1dorojimas-lt = admittedTerm-admn-sts
intersticinis+plau%C4%8Di%C5%B3+u%C5%BEdegimas-lt = preferredTerm-admn-sts
kibernetinis+i%C5%A1puolis-lt = preferredTerm-admn-sts
kilm%C4%97s+knyga-lt = preferredTerm-admn-sts
konkurencijos+trukdymas-lt = admittedTerm-admn-sts
kontroliuojama+%C4%AFmon%C4%97-lt = admittedTerm-admn-sts
kraftplau%C5%A1iena-lt = preferredTerm-admn-sts
labai+nepalankias+s%C4%85lygas+turintis+darbuotojas-lt = deprecatedTerm-admn-sts
mikroprogramin%C4%97+%C4%AFranga-lt = admittedTerm-admn-sts
nacionalin%C4%97+rinka-lt = admittedTerm-admn-sts
nacionalin%C4%97s+sistemos-lt = preferredTerm-admn-sts
pagalba+ekstremaliosios+situacijos+atveju-lt = preferredTerm-admn-sts
paprastoji+levizija-lt = preferredTerm-admn-sts
parama+gamybai-lt = preferredTerm-admn-sts
parama+u%C5%BE+plot%C4%85-lt = preferredTerm-admn-sts
pastoviosios+i%C5%A1laidos-lt = preferredTerm-admn-sts
pauk%C5%A1%C4%8Di%C5%B3+skai%C4%8Dius-lt = admittedTerm-admn-sts
perkutaninis-lt = preferredTerm-admn-sts
pirmenybin%C4%97+prieglobs%C4%8Dio+pra%C5%A1ymo+nagrin%C4%97jimo+proced%C5%ABra-lt = admittedTerm-admn-sts
pl%C5%ABdrumo+atstatymas-lt = deprecatedTerm-admn-sts
prie%C5%A1ie%C5%A1kinis-lt = preferredTerm-admn-sts
ribinis+bandymas-lt = admittedTerm-admn-sts
s%C5%ABkiai+per+minut%C4%99-lt = preferredTerm-admn-sts
stand%C5%BEioji+dalis-lt = preferredTerm-admn-sts
stojimo+derybos-lt = preferredTerm-admn-sts
sugrupuotos+s%C4%97dyn%C4%97s-lt = deprecatedTerm-admn-sts
tarptautinis+ter%C5%A1imo+nafta+prevencijos+liudijimas-lt = preferredTerm-admn-sts
%C4%AFprastas+naudojimas-lt = preferredTerm-admn-sts
%C4%AFtariamasis-lt = preferredTerm-admn-sts
%C5%A1alies+rinka-lt = preferredTerm-admn-sts
%C5%A1altas+r%C5%ABkymas-lt = admittedTerm-admn-sts
%C5%BEalingas+oro+rei%C5%A1kinys-lt = deprecatedTerm-admn-sts
%E2%80%9EPirmininkaujan%C4%8Dios+valstyb%C4%97s+nar%C4%97s+draug%C5%B3%E2%80%9C+grup%C4%97+%28DFP+per%C5%BEi%C5%ABra+%2F+tikslinimas%29-lt = supersededTerm-admn-sts
2-asis+direktoratas+%28dokument%C5%B3+tvarkymas%29-lt = supersededTerm-admn-sts
Bendrijos+%C5%BEvejybos+laiv%C5%B3+registras-lt = preferredTerm-admn-sts
Bendrijos+duomen%C5%B3+baz%C4%97+apie+keli%C5%B3+eismo+%C4%AFvykius-lt = deprecatedTerm-admn-sts
ES+ATLPS-lt = preferredTerm-admn-sts
Europos+S%C4%85jungos+valstyb%C4%97s+nar%C4%97s+pilietis-lt = admittedTerm-admn-sts
Europos+inovacij%C5%B3+partneryst%C4%97+aktyvaus+ir+sveiko+sen%C4%97jimo+srityje-lt = supersededTerm-admn-sts
I+generalinis+direktoratas+%28klimato+kaita%2C+aplinka%2C+sveikata%2C+vartotojai%2C+maisto+produktai%2C+%C5%A1vietimas%2C+jaunimas%2C+kult%C5%ABra%2C+audiovizualiniai+klausimai+ir+sportas%29-lt = supersededTerm-admn-sts
Institucini%C5%B3+klausim%C5%B3%2C+biud%C5%BEeto+ir+Tarnybos+nuostat%C5%B3+direktoratas-lt = supersededTerm-admn-sts
Konkurencij%C4%85+ribojan%C4%8Dios+veiklos+ir+dominuojan%C4%8Di%C5%B3+pad%C4%97%C4%8Di%C5%B3+patariamasis+komitetas-lt = deprecatedTerm-admn-sts
Vidaus+rinkos+derinimo+tarnyba+%28preki%C5%B3+%C5%BEenklai+ir+dizainas%29-lt = supersededTerm-admn-sts
administracin%C4%97+pinigin%C4%97+sankcija-lt = admittedTerm-admn-sts
agarmediniai-lt = preferredTerm-admn-sts
alternatyvieji+ka%C5%A1tai-lt = deprecatedTerm-admn-sts
apeliacin%C4%AF+skund%C4%85+pateik%C4%99s+asmuo-lt = admittedTerm-admn-sts
apvalkalai-lt = deprecatedTerm-admn-sts
atbulinis+kastuvas-lt = admittedTerm-admn-sts
atmosferinis+deguonis-lt = deprecatedTerm-admn-sts
atvykimo+%C4%AF+%C5%A1al%C4%AF+s%C4%85lygos-lt = admittedTerm-admn-sts
biologini%C5%B3+duj%C5%B3+gamybos+%C4%AFmon%C4%97-lt = admittedTerm-admn-sts
biud%C5%BEeto+sudarymas+pagal+veiklas-lt = deprecatedTerm-admn-sts
civilinio+statuso+dokumentas-lt = admittedTerm-admn-sts
energijos+absorbcija-lt = admittedTerm-admn-sts
galvij%C5%B3+patinai-lt = preferredTerm-admn-sts
i%C5%A1d%C5%BEiovintos+%C5%BEarnos-lt = admittedTerm-admn-sts
i%C5%A1skaidytasis+br%C4%97%C5%BEinys-lt = preferredTerm-admn-sts
juodasis+%C5%A1armas-lt = admittedTerm-admn-sts
keliaviet%C4%97+nei%C5%A1ardoma+s%C4%97dyn%C4%97-lt = deprecatedTerm-admn-sts
keliaviet%C4%97+s%C4%97dyn%C4%97-lt = preferredTerm-admn-sts
kliringo+namai-lt = deprecatedTerm-admn-sts
kombinuotieji+%C5%BEibintai-lt = preferredTerm-admn-sts
kredit%C5%B3+kriz%C4%97-lt = preferredTerm-admn-sts
labai+%C4%AFsiskolinusios+neturtingos+%C5%A1alys-lt = preferredTerm-admn-sts
mokes%C4%8Di%C5%B3+nauda-lt = deprecatedTerm-admn-sts
neaugimas-lt = deprecatedTerm-admn-sts
nitrato+r%C5%ABg%C5%A1tis-lt = preferredTerm-admn-sts
nominalus+savininkas-lt = admittedTerm-admn-sts
oficiali+maisto+produkt%C5%B3+kontrol%C4%97-lt = admittedTerm-admn-sts
organo+ma%C5%BEakraujyst%C4%97-lt = admittedTerm-admn-sts
orientacin%C4%97+pozicija-lt = preferredTerm-admn-sts
pagabinis+u%C5%BEvedimo+%C4%AFtaisas-lt = deprecatedTerm-admn-sts
paliktasis+%C5%A1altinis-lt = preferredTerm-admn-sts
pla%C4%8Diajuost%C4%97+prieiga-lt = preferredTerm-admn-sts
pradedantis+vaik%C5%A1%C4%8Dioti+vaikas-lt = deprecatedTerm-admn-sts
produktyvi+investicija+%C4%AF+akvakult%C5%ABr%C4%85-lt = deprecatedTerm-admn-sts
refinansavimas-lt = preferredTerm-admn-sts
su+byla+susijusios+i%C5%A1laidos-lt = supersededTerm-admn-sts
sulfatin%C4%97+plau%C5%A1iena-lt = admittedTerm-admn-sts
sutuoktin%C5%B3+turto+teisinis+re%C5%BEimas-lt = preferredTerm-admn-sts
tikras+brolis-lt = admittedTerm-admn-sts
vairuotojo+apsaugos+nuo+objekt%C5%B3+patekimo+%C4%AF+kabin%C4%85-lt = admittedTerm-admn-sts
verslo+angelas-lt = admittedTerm-admn-sts
%C4%AFvairiar%C5%AB%C5%A1is+ve%C5%BEimas-lt = preferredTerm-admn-sts
%C5%A1iluminis+apdorojimas-lt = admittedTerm-admn-sts
%C5%ABmi+asimptotin%C4%97+LC50-lt = admittedTerm-admn-sts
%C5%ABminis+inkst%C5%B3+nepakankamumas-lt = deprecatedTerm-admn-sts
Amerikos+austr%C4%97-lt = supersededTerm-admn-sts
C+cukrus-lt = supersededTerm-admn-sts
EB+tipo+patvirtinimas-lt = supersededTerm-admn-sts
ES+ir+Rusijos+ry%C5%A1i%C5%B3+grup%C4%97-lt = supersededTerm-admn-sts
Europos+ekonomikos+gaivinimo+planas-lt = preferredTerm-admn-sts
HTTP+protokolas-lt = admittedTerm-admn-sts
ISSAS-lt = preferredTerm-admn-sts
Informacijos%2C+diskusij%C5%B3+ir+keitimosi+duomenimis+prieglobs%C4%8Dio+klausimais+centras-lt = supersededTerm-admn-sts
Kosmin%C4%97s+erdv%C4%97s+technologij%C5%B3+taikymo+institutas-lt = supersededTerm-admn-sts
Maisto+kodekso+komisija-lt = preferredTerm-admn-sts
Piet%C5%B3+Amerikos+taut%C5%B3+bendrija-lt = supersededTerm-admn-sts
Pranc%C5%ABzijos+u%C5%BEj%C5%ABrio+teritorija-lt = supersededTerm-admn-sts
Smulkiojo+verslo+aktas+Europai-lt = admittedTerm-admn-sts
absorbcin%C4%97+spektroskopija-lt = admittedTerm-admn-sts
akcija%2C+ne%C4%AFtraukta+%C4%AF+bir%C5%BEos+prekybos+s%C4%85ra%C5%A1us-lt = admittedTerm-admn-sts
akies+ragena-lt = admittedTerm-admn-sts
apeliacinio+skundo+atsi%C4%97mimas-lt = supersededTerm-admn-sts
artim%C5%B3j%C5%B3+%C5%A1vies%C5%B3+pokrypis-lt = admittedTerm-admn-sts
atlantinis+kardauodegis-lt = supersededTerm-admn-sts
be%C5%BEnypl%C4%97s+krevet%C4%97s-lt = supersededTerm-admn-sts
bendrov%C4%97s+kortel%C4%97-lt = admittedTerm-admn-sts
branduolin%C4%97s+energetikos+objektas-lt = preferredTerm-admn-sts
citrusini%C5%B3+vaisi%C5%B3+%C5%BEievel%C4%97-lt = preferredTerm-admn-sts
d%C5%BEiovintos+%C5%BEarnos-lt = preferredTerm-admn-sts
darnus+vystymasis-lt = preferredTerm-admn-sts
deg%C5%ABs+garai-lt = admittedTerm-admn-sts
dirbamosios+%C5%BEem%C4%97s+atid%C4%97jimo+sistema-lt = preferredTerm-admn-sts
faktin%C4%97+alkoholio+koncentracija-lt = admittedTerm-admn-sts
genomin%C4%97+veislin%C4%97+vert%C4%97-lt = preferredTerm-admn-sts
gyv%C5%ABn%C5%B3+sveikatos+teis%C4%97s+aktai-lt = preferredTerm-admn-sts
ilgapelekis+saule%C5%A1eris-lt = supersededTerm-admn-sts
interes%C5%B3+konfliktas+pasi%C5%ABlym%C5%B3+vertinimo+metu-lt = deprecatedTerm-admn-sts
japonin%C4%97+oryzija-lt = supersededTerm-admn-sts
judumas+mokymosi+tikslais-lt = preferredTerm-admn-sts
k%C4%97bulas-lt = deprecatedTerm-admn-sts
kancerogeni%C5%A1kumas-lt = preferredTerm-admn-sts
kedenin%C4%97+tilandsija-lt = preferredTerm-admn-sts
kiautuotieji+moliuskai-lt = preferredTerm-admn-sts
leid%C5%BEiama+savait%C4%97s+norma-lt = preferredTerm-admn-sts
lenktadygliai+e%C5%BEiakaktusiai-lt = supersededTerm-admn-sts
liudytoj%C5%B3+apklausa-lt = supersededTerm-admn-sts
ma%C5%BEo+anglies+dioksido+kiekio+technologij%C5%B3+pl%C4%97tojimo+strategija-lt = preferredTerm-admn-sts
med%C5%BEiojam%C5%B3+gyv%C5%ABn%C5%B3+m%C4%97sa-lt = admittedTerm-admn-sts
mitybinis+tirpalas-lt = preferredTerm-admn-sts
nei%C5%A1dorota+%C5%BEuvis-lt = preferredTerm-admn-sts
nenumatytas+atvejis-lt = deprecatedTerm-admn-sts
oficialus+pripa%C5%BEinimas-lt = admittedTerm-admn-sts
oro+ter%C5%A1al%C5%B3+gaudykl%C4%97s+skystis-lt = preferredTerm-admn-sts
padugn%C4%97s-lt = preferredTerm-admn-sts
pameistryst%C4%97-lt = preferredTerm-admn-sts
paprastasis+abrikosas-lt = preferredTerm-admn-sts
patognominis+po%C5%BEymis-lt = deprecatedTerm-admn-sts
produkcijos+zona-lt = deprecatedTerm-admn-sts
